Epoch 20/1000, Input: [-0.24481414], Target: [1024.], Output: [211.2059308691967]
Epoch 20/1000, Input: [-0.28117267], Target: [1.], Output: [211.36848968302286]
Epoch 20/1000, Input: [-0.35388974], Target: [1.], Output: [211.32641598508624]
Epoch 20/1000, Input: [3.31832231], Target: [1.e+20], Output: [211.28435070188922]
Epoch 20/1000, Input: [-0.68111656], Target: [1.e+10], Output: [212.28435070188922]
Epoch 20/1000, Input: [0.15512975], Target: [1.37858492e+11], Output: [213.28435070188922]
Epoch 20/1000, Input: [-0.46296535], Target: [1048576.], Output: [214.28435070188922]
Epoch 20/1000, Input: [-0.89926777], Target: [1.09951163e+12], Output: [215.28435070188922]
Epoch 20/1000, Input: [-0.97198484], Target: [3.57046723e+12], Output: [216.28435070188922]
Epoch 20/1000, Input: [0.37328096], Target: [6.13106626e+12], Output: [217.28435070188922]
Epoch 20/1000, Input: [0.66414924], Target: [2.05891132e+14], Output: [218.28435070188922]
Epoch 20/1000, Input: [0.48235657], Target: [2.65599228e+13], Output: [219.28435070188922]
Epoch 20/1000, Input: [-0.53568242], Target: [60466176.], Output: [220.28435070188922]
Epoch 20/1000, Input: [-0.35388974], Target: [1.], Output: [221.28435070188922]
Epoch 20/1000, Input: [-0.2084556], Target: [59049.], Output: [221.24029383174886]
Epoch 21/1000, Input: [-0.24481414], Target: [1024.], Output: [222.24029383174886]
Epoch 21/1000, Input: [-0.28117267], Target: [1.], Output: [222.4006457729825]
Epoch 21/1000, Input: [-0.35388974], Target: [1.], Output: [222.3563656438279]
Epoch 21/1000, Input: [3.31832231], Target: [1.e+20], Output: [222.31209437069913]
Epoch 21/1000, Input: [-0.68111656], Target: [1.e+10], Output: [223.31209437069913]
Epoch 21/1000, Input: [0.15512975], Target: [1.37858492e+11], Output: [224.31209437069913]
Epoch 21/1000, Input: [-0.46296535], Target: [1048576.], Output: [225.31209437069913]
Epoch 21/1000, Input: [-0.89926777], Target: [1.09951163e+12], Output: [226.31209437069913]
Epoch 21/1000, Input: [-0.97198484], Target: [3.57046723e+12], Output: [227.31209437069913]
Epoch 21/1000, Input: [0.37328096], Target: [6.13106626e+12], Output: [228.31209437069913]
Epoch 21/1000, Input: [0.66414924], Target: [2.05891132e+14], Output: [229.31209437069913]
Epoch 21/1000, Input: [0.48235657], Target: [2.65599228e+13], Output: [230.31209437069913]
Epoch 21/1000, Input: [-0.53568242], Target: [60466176.], Output: [231.31209437069913]
Epoch 21/1000, Input: [-0.35388974], Target: [1.], Output: [232.31209437069913]
Epoch 21/1000, Input: [-0.2084556], Target: [59049.], Output: [232.265831951825]
Epoch 22/1000, Input: [-0.24481414], Target: [1024.], Output: [233.265831951825]
Epoch 22/1000, Input: [-0.28117267], Target: [1.], Output: [233.42397878543463]
Epoch 22/1000, Input: [-0.35388974], Target: [1.], Output: [233.37749398967753]
Epoch 22/1000, Input: [3.31832231], Target: [1.e+20], Output: [233.3310184908796]
